timestamp,city,latitude,longitude,temp_c,feels_like_c,humidity_pct,precipitation_mm,wind_speed_kmh
2026-08-21 15:19:47,Thoothukudi,8.7642,78.1348,38.0,36.5,29,0.0,29.3
2026-08-21 15:19:48,Tiruchirappalli,10.7905,78.7047,35.5,36.6,38,0.0,16.1
2026-08-21 15:19:49,Tirunelveli,8.7139,77.7567,36.8,36.6,32,0.0,23.9
2026-08-21 15:19:50,Tirupathur,12.4926,78.5683,33.4,35.1,44,0.0,17.5
2026-08-21 15:19:50,Tiruppur,11.1085,77.3411,32.9,32.7,45,0.2,25.3
2026-08-21 15:19:52,Tiruvallur,13.1432,79.9098,32.6,37.2,60,0.2,8.2
2026-08-21 15:19:53,Tiruvannamalai,12.2253,79.0747,32.6,35.8,52,0.2,11.7
2026-08-21 15:19:54,Tiruvarur,10.7711,79.6364,33.3,36.0,52,0.0,15.9
2026-08-21 15:19:54,Vellore,12.9165,79.1325,28.4,34.5,79,1.0,1.6
2026-08-21 15:19:55,Viluppuram,11.9401,79.4861,33.9,37.6,50,0.0,11.1
2026-08-21 15:19:56,Virudhunagar,9.568,77.9624,38.3,39.8,26,0.0,7.0
2026-08-21 15:45:07,Ariyalur,11.1401,79.0786,34.7,35.4,40,0.0,17.5
2026-08-21 15:45:07,Chengalpattu,12.6825,79.9822,33.0,37.0,57,0.0,11.6
2026-08-21 15:45:07,Chennai,13.0827,80.2707,31.1,35.3,63,0.2,9.3
2026-08-21 15:45:07,Coimbatore,11.0168,76.9558,29.0,29.9,60,0.0,22.6
2026-08-21 15:45:07,Cuddalore,11.748,79.7714,33.8,37.3,50,0.0,9.6
2026-08-21 15:45:07,Dharmapuri,12.1211,78.1582,34.3,34.3,35,0.0,17.3
2026-08-21 15:45:07,Dindigul,10.3673,77.9803,36.6,36.0,28,0.0,15.5
2026-08-21 15:45:07,Erode,11.341,77.7172,36.1,37.2,34,0.0,11.6
2026-08-21 15:45:07,Kallakurichi,11.7384,78.9639,34.7,36.7,43,0.0,14.1
2026-08-21 15:45:07,Kanchipuram,12.8342,79.7036,31.9,36.4,60,1.3,7.3
2026-08-21 15:45:07,Kanniyakumari,8.0883,77.5385,31.9,31.1,52,0.0,35.7
2026-08-21 15:45:07,Karur,10.9601,78.0766,35.9,35.3,36,0.0,25.9
2026-08-21 15:45:07,Krishnagiri,12.5266,78.2146,32.3,32.9,44,0.0,18.5
2026-08-21 15:45:07,Madurai,9.9252,78.1198,37.2,39.2,31,0.0,3.4
2026-08-21 15:45:07,Mayiladuthurai,11.1018,79.6521,33.6,35.8,48,0.0,14.8
2026-08-21 15:45:07,Nagapattinam,10.7656,79.8424,33.2,35.7,52,0.0,16.9
2026-08-21 15:45:07,Namakkal,11.2189,78.1674,34.8,37.3,38,0.0,3.8
2026-08-21 15:45:07,Nilgiris,11.4916,76.7337,22.7,21.6,55,0.0,16.4
2026-08-21 15:45:07,Perambalur,11.2342,78.8821,35.2,36.7,39,0.0,12.4
2026-08-21 15:45:07,Pudukkottai,10.3833,78.8,34.9,37.3,42,0.0,9.3
2026-08-21 15:45:07,Ramanathapuram,9.3639,78.8395,32.8,34.1,51,0.0,21.4
2026-08-21 15:45:07,Ranipet,12.9224,79.3331,28.2,32.3,81,1.9,15.3
2026-08-21 15:45:07,Salem,11.6643,78.146,33.9,35.9,40,0.0,8.2
2026-08-21 15:45:07,Sivaganga,9.8433,78.4809,35.4,38.3,39,0.0,4.0
2026-08-21 15:45:07,Tenkasi,8.9593,77.3153,29.2,29.3,62,0.0,30.6
2026-08-21 15:45:07,Thanjavur,10.787,79.1378,34.4,37.4,45,0.0,7.9
2026-08-21 15:45:07,Theni,10.0104,77.4768,35.3,36.2,33,0.0,9.2
2026-08-21 15:45:07,Thoothukudi,8.7642,78.1348,37.4,35.3,30,0.0,32.3
2026-08-21 15:45:07,Tiruchirappalli,10.7905,78.7047,35.3,36.8,40,0.1,14.2
2026-08-21 15:45:07,Tirunelveli,8.7139,77.7567,36.2,35.6,34,0.0,24.6
2026-08-21 15:45:07,Tirupathur,12.4926,78.5683,33.1,34.3,44,0.0,17.1
2026-08-21 15:45:07,Tiruppur,11.1085,77.3411,32.3,32.0,48,0.0,27.2
2026-08-21 15:45:07,Tiruvallur,13.1432,79.9098,31.8,36.5,62,1.0,7.4
2026-08-21 15:45:07,Tiruvannamalai,12.2253,79.0747,32.2,34.8,54,0.1,13.7
2026-08-21 15:45:07,Tiruvarur,10.7711,79.6364,32.8,36.0,57,0.0,16.3
2026-08-21 15:45:07,Vellore,12.9165,79.1325,26.0,32.6,99,0.6,4.0
2026-08-21 15:45:07,Viluppuram,11.9401,79.4861,33.9,37.1,50,0.0,10.7
2026-08-21 15:45:07,Virudhunagar,9.568,77.9624,38.0,38.3,26,0.1,11.2
2026-08-21 15:45:25,Ariyalur,11.1401,79.0786,34.7,35.4,40,0.0,17.5
2026-08-21 15:45:25,Chengalpattu,12.6825,79.9822,33.0,37.0,57,0.0,11.6
2026-08-21 15:45:25,Chennai,13.0827,80.2707,31.1,35.3,63,0.2,9.3
2026-08-21 15:45:25,Coimbatore,11.0168,76.9558,29.0,29.9,60,0.0,22.6
2026-08-21 15:45:25,Cuddalore,11.748,79.7714,33.8,37.3,50,0.0,9.6
2026-08-21 15:45:25,Dharmapuri,12.1211,78.1582,34.3,34.3,35,0.0,17.3
2026-08-21 15:45:25,Dindigul,10.3673,77.9803,36.6,36.0,28,0.0,15.5
2026-08-21 15:45:25,Erode,11.341,77.7172,36.1,37.2,34,0.0,11.6
2026-08-21 15:45:25,Kallakurichi,11.7384,78.9639,34.7,36.7,43,0.0,14.1
2026-08-21 15:45:25,Kanchipuram,12.8342,79.7036,31.9,36.4,60,1.3,7.3
2026-08-21 15:45:25,Kanniyakumari,8.0883,77.5385,31.9,31.1,52,0.0,35.7
2026-08-21 15:45:25,Karur,10.9601,78.0766,35.9,35.3,36,0.0,25.9
2026-08-21 15:45:25,Krishnagiri,12.5266,78.2146,32.3,32.9,44,0.0,18.5
2026-08-21 15:45:25,Madurai,9.9252,78.1198,37.2,39.2,31,0.0,3.4
2026-08-21 15:45:25,Mayiladuthurai,11.1018,79.6521,33.6,35.8,48,0.0,14.8
2026-08-21 15:45:25,Nagapattinam,10.7656,79.8424,33.2,35.7,52,0.0,16.9
2026-08-21 15:45:25,Namakkal,11.2189,78.1674,34.8,37.3,38,0.0,3.8
2026-08-21 15:45:25,Nilgiris,11.4916,76.7337,22.7,21.6,55,0.0,16.4
2026-08-21 15:45:25,Perambalur,11.2342,78.8821,35.2,36.7,39,0.0,12.4
2026-08-21 15:45:25,Pudukkottai,10.3833,78.8,34.9,37.3,42,0.0,9.3
2026-08-21 15:45:25,Ramanathapuram,9.3639,78.8395,32.8,34.1,51,0.0,21.4
2026-08-21 15:45:25,Ranipet,12.9224,79.3331,28.2,32.3,81,1.9,15.3
2026-08-21 15:45:25,Salem,11.6643,78.146,33.9,35.9,40,0.0,8.2
2026-08-21 15:45:25,Sivaganga,9.8433,78.4809,35.4,38.3,39,0.0,4.0
2026-08-21 15:45:25,Tenkasi,8.9593,77.3153,29.2,29.3,62,0.0,30.6
2026-08-21 15:45:25,Thanjavur,10.787,79.1378,34.4,37.4,45,0.0,7.9
2026-08-21 15:45:25,Theni,10.0104,77.4768,35.3,36.2,33,0.0,9.2
2026-08-21 15:45:25,Thoothukudi,8.7642,78.1348,37.4,35.3,30,0.0,32.3
2026-08-21 15:45:25,Tiruchirappalli,10.7905,78.7047,35.3,36.8,40,0.1,14.2
2026-08-21 15:45:25,Tirunelveli,8.7139,77.7567,36.2,35.6,34,0.0,24.6
2026-08-21 15:45:25,Tirupathur,12.4926,78.5683,33.1,34.3,44,0.0,17.1
2026-08-21 15:45:25,Tiruppur,11.1085,77.3411,32.3,32.0,48,0.0,27.2
2026-08-21 15:45:25,Tiruvallur,13.1432,79.9098,31.8,36.5,62,1.0,7.4
2026-08-21 15:45:25,Tiruvannamalai,12.2253,79.0747,32.2,34.8,54,0.1,13.7
2026-08-21 15:45:25,Tiruvarur,10.7711,79.6364,32.8,36.0,57,0.0,16.3
2026-08-21 15:45:25,Vellore,12.9165,79.1325,26.0,32.6,99,0.6,4.0
2026-08-21 15:45:25,Viluppuram,11.9401,79.4861,33.9,37.1,50,0.0,10.7
2026-08-21 15:45:25,Virudhunagar,9.568,77.9624,38.0,38.3,26,0.1,11.2
2026-08-21 15:01:05,Ariyalur,11.1401,79.0786,28.8,31.4,71,0.0,20.6
2026-08-21 15:01:05,Chengalpattu,12.6825,79.9822,26.0,30.9,94,0.3,11.6
2026-08-21 15:01:05,Chennai,13.0827,80.2707,28.8,33.7,79,0.0,10.8
2026-08-21 15:01:05,Coimbatore,11.0168,76.9558,23.9,25.7,87,0.0,19.6
2026-08-21 15:01:05,Cuddalore,11.748,79.7714,26.7,30.9,92,0.5,18.5
2026-08-21 15:01:05,Dharmapuri,12.1211,78.1582,28.8,30.2,56,0.0,13.5
2026-08-21 15:01:05,Dindigul,10.3673,77.9803,30.9,32.3,45,0.0,8.8
2026-08-21 15:01:05,Erode,11.341,77.7172,28.0,29.8,66,0.0,17.1
2026-08-21 15:01:05,Kallakurichi,11.7384,78.9639,24.8,27.1,91,0.6,22.2
2026-08-21 15:01:05,Kanchipuram,12.8342,79.7036,26.0,30.6,92,0.0,12.7
2026-08-21 15:01:05,Kanniyakumari,8.0883,77.5385,27.5,28.3,74,0.0,29.2
2026-08-21 15:01:05,Karur,10.9601,78.0766,27.9,27.9,65,0.0,29.2
2026-08-21 15:01:05,Krishnagiri,12.5266,78.2146,27.8,28.4,56,0.0,16.4
2026-08-21 15:01:05,Madurai,9.9252,78.1198,30.5,33.2,52,0.0,6.6
2026-08-21 15:01:05,Mayiladuthurai,11.1018,79.6521,28.5,31.0,73,0.0,21.3
2026-08-21 15:01:05,Nagapattinam,10.7656,79.8424,28.6,31.4,72,0.0,18.7
2026-08-21 15:01:05,Namakkal,11.2189,78.1674,29.0,30.9,62,0.0,15.8
